,Site_Code,Block_Code,Treatment_Code,Vial_Code,Viable_Seeds,NViable_Seeds,Damaged_Seeds,Missing_Seeds,Insects,Flowers
568,campus,B9,Predator Exclusion,2,37,25,5,5,0,72
569,ditch,B40,Predator Model,2,23,34,0,7,0,64
570,campus,B4,Control,2,58,43,0,12,0,113
571,campus,B21,Predator Exclusion,2,47,43,0,-4,0,86
572,construction,B7,Pollinator Exclusion,2,5,70,0,0,0,75
573,construction,B16,Control,2,29,24,0,-4,0,49
574,campus,B9,Pollinator Exclusion,2,0,71,0,1,0,72
575,campus,B2,Predator Model,2,46,31,10,14,0,101
576,rapseed,B28,Pollinator Exclusion,2,4,57,0,3,0,64
577,campus,B1,Predator Exclusion,2,26,55,0,10,0,91
578,campus,B21,Pollinator Exclusion,2,4,86,0,-85,0,5
579,campus,B9,Predator Model,2,60,9,0,2,0,71
580,campus,B3,Predator Exclusion,2,51,3,0,-1,0,53
581,campus,B6,Control,2,34,27,1,9,0,71
582,rapseed,B31,Predator Model,2,42,35,0,5,0,82
583,construction,B34,Predator Model,2,50,19,0,11,0,80
584,construction,B14,Predator Model,2,59,7,1,6,1,73
585,rapseed,B17,Control,2,0,74,7,5,6,86
586,construction,B16,Control,2,46,21,0,-2,6,65
587,construction,B20,Pollinator Exclusion,2,9,58,0,19,0,86
588,construction,B10,Pollinator Exclusion,2,0,59,0,11,0,70
589,rapseed,B28,Predator Exclusion,2,40,23,0,11,0,74
590,ditch,B37,Pollinator Exclusion,2,7,57,0,31,0,95
591,rapseed,B30,Predator Exclusion,2,34,23,0,15,0,72
592,ditch,B47,Predator Exclusion,2,31,15,8,5,0,59
593,ditch,B48,Control,2,67,14,7,-3,1,85
594,construction,B19,Predator Model,2,46,7,0,13,0,66
595,ditch,B40,Predator Exclusion,2,0,0,26,-6,0,20
596,rapseed,B28,Predator Model,2,27,26,0,19,0,72
597,rapseed,B17,Predator Model,2,0,70,0,4,0,74
598,ditch,B44,Control,2,45,15,0,7,22,67
599,construction,B39,Pollinator Exclusion,2,0,2,0,99,0,101
600,ditch,B36,Control,2,61,17,0,9,2,87
601,rapseed,B31,Pollinator Exclusion,2,2,53,0,13,0,68
602,ditch,B40,Control,2,92,4,0,-4,5,92
603,ditch,B42,Predator Exclusion,2,75,1,0,-3,0,73
604,rapseed,B30,Control,2,49,12,0,7,0,68
605,ditch,B44,Predator Exclusion,2,44,24,0,21,0,89
606,ditch,B45,Predator Exclusion,2,75,0,0,-8,0,67
607,construction,B18,Control,2,40,12,8,24,2,84
608,ditch,B43,Pollinator Exclusion,2,0,57,0,20,1,77
609,ditch,B42,Control,2,86,7,0,4,34,97
610,rapseed,B17,Pollinator Exclusion,2,0,50,0,23,0,73
611,ditch,B43,Control,2,82,20,0,3,0,105
612,construction,B35,Predator Model,2,0,68,0,13,0,81
613,rapseed,B30,Control,2,43,20,11,-7,0,67
614,ditch,B37,Predator Model,2,36,21,5,7,0,69
615,construction,B10,Control,2,74,22,1,2,0,99
